case,model_seed,history,alpha,feature_dim,active_coefficients,validation_h8_mae,selected
bestest_hydronic_heat_pump,202608015,40,0.001,531,2128,0.59857374237874128,False
bestest_hydronic_heat_pump,202608015,40,0.0001,531,2128,0.59857436828769695,False
bestest_hydronic_heat_pump,202608015,24,0.10000000000000001,323,1296,0.59983528898107497,False
bestest_hydronic_heat_pump,202608015,16,1,219,880,0.60092790901334048,False
bestest_hydronic_heat_pump,202608015,8,1,115,464,0.60234611563299667,False
bestest_hydronic_heat_pump,202608015,4,0.0001,63,256,0.61084120406691533,False
bestest_hydronic_heat_pump,202608015,4,10000,63,256,0.6132459667099639,False
bestest_hydronic_heat_pump,202608015,4,1,63,256,0.61657005939602205,False
bestest_hydronic_heat_pump,202608015,40,100000,531,2128,0.61999228242001947,False
bestest_hydronic_heat_pump,202608015,24,100000,323,1296,0.62808099648583748,False
bestest_hydronic_heat_pump,202608015,16,100000,219,880,0.64427679747617428,False
bestest_hydronic_heat_pump,202608015,8,100000,115,464,0.66237123010996157,False
bestest_hydronic_heat_pump,202608015,4,100000,63,256,0.68910578429721536,False
bestest_hydronic_heat_pump,202608015,4,0.01,63,256,0.69873027173424984,False
bestest_hydronic_heat_pump,202608015,16,0.10000000000000001,219,880,0.75539664297597742,False
bestest_hydronic_heat_pump,202608015,8,0.10000000000000001,115,464,0.77131469437134093,False
bestest_hydronic_heat_pump,202608015,4,0.001,63,256,0.85562397316339778,False
bestest_hydronic_heat_pump,202608015,24,0.01,323,1296,0.9969268175580146,False
bestest_hydronic_heat_pump,202608015,16,0.01,219,880,1.3649932843992303,False
bestest_hydronic_heat_pump,202608015,8,0.01,115,464,1.4106996089257695,False
bestest_hydronic_heat_pump,202608015,24,0.001,323,1296,2.322115207510413,False
bestest_hydronic_heat_pump,202608015,8,0.001,115,464,3.0040847587581831,False
bestest_hydronic_heat_pump,202608015,16,0.001,219,880,7.1688477692397612,False
bestest_hydronic_heat_pump,202608015,8,0.0001,115,464,8.1982082814908246,False
bestest_hydronic_heat_pump,202608015,24,0.0001,323,1296,9.0845849336162612,False
bestest_hydronic_heat_pump,202608015,16,0.0001,219,880,23.326921132826772,False
multizone_office_simple_air,202608011,8,10000,115,464,0.43265234857352058,True
multizone_office_simple_air,202608011,16,10000,219,880,0.45632078863614167,False
multizone_office_simple_air,202608011,4,10000,63,256,0.46237809570478605,False
multizone_office_simple_air,202608011,4,1000,63,256,0.46729409474072681,False
multizone_office_simple_air,202608011,24,100000,323,1296,0.47755937024019979,False
multizone_office_simple_air,202608011,16,100000,219,880,0.47851680579677708,False
multizone_office_simple_air,202608011,24,10000,323,1296,0.48349338593028507,False
multizone_office_simple_air,202608011,8,100000,115,464,0.4953078040828382,False
multizone_office_simple_air,202608011,40,100000,531,2128,0.49816968560147978,False
multizone_office_simple_air,202608011,8,1000,115,464,0.49851733734950593,False
multizone_office_simple_air,202608011,4,100,63,256,0.50151186199050612,False
multizone_office_simple_air,202608011,16,1000,219,880,0.52165306710011272,False
multizone_office_simple_air,202608011,4,100000,63,256,0.54739178579536496,False
multizone_office_simple_air,202608011,16,100,219,880,0.55894995429637473,False
multizone_office_simple_air,202608011,24,1000,323,1296,0.56924123990897679,False
multizone_office_simple_air,202608011,8,100,115,464,0.56982064085908934,False
multizone_office_simple_air,202608011,40,10000,531,2128,0.59380470932724949,False
multizone_office_simple_air,202608011,24,100,323,1296,0.60547289407411642,False
multizone_office_simple_air,202608011,24,10,323,1296,0.6138193590553932,False
multizone_office_simple_air,202608011,4,10,63,256,0.63112445722929444,False
multizone_office_simple_air,202608011,24,1,323,1296,0.64947921587109669,False
multizone_office_simple_air,202608011,16,10,219,880,0.65564119406745003,False
multizone_office_simple_air,202608011,40,1000,531,2128,0.69985348922645474,False
multizone_office_simple_air,202608011,40,100,531,2128,0.74201486273543149,False
multizone_office_simple_air,202608011,40,0.0001,531,2128,0.74906930101993863,False
multizone_office_simple_air,202608011,40,0.001,531,2128,0.74906934136969427,False
multizone_office_simple_air,202608011,40,0.01,531,2128,0.7490698521322805,False
multizone_office_simple_air,202608011,40,0.10000000000000001,531,2128,0.7490749064740988,False
multizone_office_simple_air,202608011,40,10,531,2128,0.74910664973635732,False
multizone_office_simple_air,202608011,40,1,531,2128,0.74912182058553112,False
multizone_office_simple_air,202608011,4,1,63,256,0.84462250249891002,False
multizone_office_simple_air,202608011,8,10,115,464,0.85278071021373913,False
multizone_office_simple_air,202608011,16,1,219,880,0.95847919989071406,False
multizone_office_simple_air,202608011,4,0.10000000000000001,63,256,1.0066090726168113,False
multizone_office_simple_air,202608011,24,0.10000000000000001,323,1296,1.0782150371148789,False
multizone_office_simple_air,202608011,8,1,115,464,1.1496522730934351,False
multizone_office_simple_air,202608011,8,0.10000000000000001,115,464,1.3544313743988892,False
multizone_office_simple_air,202608011,4,0.01,63,256,1.5219074978792018,False
multizone_office_simple_air,202608011,16,0.10000000000000001,219,880,1.8570286536545457,False
multizone_office_simple_air,202608011,8,0.01,115,464,2.0059670096232449,False
multizone_office_simple_air,202608011,4,0.001,63,256,2.0584963677077228,False
multizone_office_simple_air,202608011,4,0.0001,63,256,2.853168263367055,False
