case,condition,candidate,reference,endpoint,windows,median_paired_difference,mean_paired_difference,ci95_low,ci95_high,improved_windows,tied_windows
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,constant_zero,cost_tot,12,-0.011368869972874604,-0.011462232386366511,-0.021256406892358269,0,8,3
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,constant_zero,tdis_tot,12,0.83964593133573062,2.5659745380647134,0,3.9675771417291754,2,2
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,constant_zero,control_cost_proxy,12,-2.1150403592027116,-2.2074290558208949,-4.1440501403927694,0,8,4
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,constant_zero,control_discomfort_kh,12,1.0043631675357574,2.6568339249963144,0,4.09543001842097,2,2
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,constant_zero,control_energy_kwh,12,-7.3087024260330864,-8.2975294955788268,-16.317148729928846,0,8,4
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,constant_zero,operational_score,12,-0.051994743780322247,-0.0445531856355528,-0.094615554469220597,-2.7513628300495789e-08,10,0
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,constant_zero,cost_tot,12,-0.0096915366422872865,-0.0084286607072985506,-0.018033879496411605,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,constant_zero,tdis_tot,12,0.21625768378701093,0.20564719496870262,-9.7398244183755089e-06,0.48990412705900166,4,1
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,constant_zero,control_cost_proxy,12,-1.7871956963677063,-1.6448316680181294,-3.5612589080512258,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,constant_zero,control_discomfort_kh,12,0.26978235543309381,0.28117644839021355,-9.7364642073216601e-06,0.58893004868897947,4,1
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,constant_zero,control_energy_kwh,12,-6.4841520812717448,-6.1369971200643532,-14.100718721010939,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,constant_zero,operational_score,12,-0.040330726666202493,-0.038851272000481434,-0.060989478880531994,1.6417661349446853e-08,8,0
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,constant_zero,cost_tot,12,-0.0080791319682798901,-0.0073231759878036881,-0.011474315834669069,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,constant_zero,tdis_tot,12,5.811852117704186e-06,0.18411491148635417,-0.029387514522343117,0.53675132562706263,4,1
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,constant_zero,control_cost_proxy,12,-1.6190410649692932,-1.4188089504292947,-2.2818806756496959,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,constant_zero,control_discomfort_kh,12,6.254148203765908e-06,0.25740467430191077,-0.016053771852021725,0.6742582810715021,4,1
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,constant_zero,control_energy_kwh,12,-6.1437375353424777,-5.3905007274438601,-9.3804430967638019,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,constant_zero,operational_score,12,-0.039324053422761053,-0.048807029461592398,-0.10323352884184414,1.7093566826201206e-08,8,0
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,constant_zero,cost_tot,12,-0.008052993084089969,-0.0094750789689330966,-0.019543608701421196,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,constant_zero,tdis_tot,12,0.33159810567488357,0.71677592508657728,1.3920553236512756e-06,1.3458016546168585,2,1
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,constant_zero,control_cost_proxy,12,-1.5617973427885348,-1.8717397653532333,-3.8425756371028621,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,constant_zero,control_discomfort_kh,12,0.39233680466959697,0.78884762601643033,6.4816418685609278e-06,1.5417470276742264,1,1
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,constant_zero,control_energy_kwh,12,-6.2689925106023354,-7.2137975796319864,-14.913226540360196,0,8,2
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,legacy_rssm,operational_score,12,3.1059906497362372e-08,-0.0069874526012500887,-0.00041210637063809674,0.0058191268545789441,4,2
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,legacy_rssm,cost_tot,12,0.00017475953393522592,0.00029305161037949078,0,0.0022237868305275688,2,4
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,legacy_rssm,tdis_tot,12,-0.37098564215682917,-2.1316956725163494,-2.7799562374567466,0,8,3
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,legacy_rssm,control_cost_proxy,12,0,0.033970173150399706,0,0.39644522407775185,2,5
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,legacy_rssm,control_discomfort_kh,12,-0.37017123344671887,-2.1523188879257589,-2.834067635029065,0,8,3
bestest_hydronic_heat_pump,zone_bias_negative,direct_h8_rssm,legacy_rssm,control_energy_kwh,12,0,0.12816054978207289,0,1.4139308698288211,2,5
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,direct_h8_rssm,operational_score,12,-1.3218697432160677e-09,0.0057925969072325214,-0.019430671791934005,0.028074680458008795,6,2
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,direct_h8_rssm,cost_tot,12,0.0014762207679311825,0.0030335716790679617,0,0.0063764968500009227,2,4
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,direct_h8_rssm,tdis_tot,12,-0.089237450548892761,-2.360327343096011,-3.9773314170603218,0,8,3
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,direct_h8_rssm,control_cost_proxy,12,0.27033113045425716,0.56259738780276558,0,1.180188330840011,2,4
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,direct_h8_rssm,control_discomfort_kh,12,-0.0894231253692368,-2.3756574766061007,-4.0302515459522041,0,8,3
bestest_hydronic_heat_pump,zone_bias_negative,deterministic_wm,direct_h8_rssm,control_energy_kwh,12,1.0663774590089501,2.1605323755144736,0,4.5557267602065554,2,4
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,deterministic_wm,operational_score,12,2.1765609517404864e-08,0.0057019136350713743,-0.012213172156253511,0.032983557511700297,4,2
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,deterministic_wm,cost_tot,12,0,0.0011054847194948616,-0.0023569666931407829,0.0062169433734676725,4,4
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,deterministic_wm,tdis_tot,12,7.7050257691613222e-06,-0.021532283482348442,-0.11212129185363828,0.09560099802012112,3,3
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,deterministic_wm,control_cost_proxy,12,0,0.22602271758883496,-0.32774742039650095,1.2183556892544081,4,4
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,deterministic_wm,control_discomfort_kh,12,7.6555502772635009e-06,-0.023771774088302777,-0.12339494945869944,0.099725157497879025,3,3
bestest_hydronic_heat_pump,zone_bias_negative,rc_supervisory_selector,deterministic_wm,control_energy_kwh,12,0,0.74649639262049272,-1.4316577313029111,4.3651467487370326,4,4
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,deterministic_wm,operational_score,12,2.0719420012713114e-08,-0.0042538438260395989,-0.014082352989459181,0.002830483287079676,5,1
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,deterministic_wm,cost_tot,12,-0.00029393253758518839,-0.0010464182616345471,-0.0028577149213939931,3.435769950096805e-05,6,3
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,deterministic_wm,tdis_tot,12,0.12177509336013218,0.51112873011787474,0,0.34303324721402678,2,2
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,deterministic_wm,control_cost_proxy,12,-0.04032524544783489,-0.22690809733510409,-0.58464540041706847,0,7,3
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,deterministic_wm,control_discomfort_kh,12,0.12044552081634663,0.50767117762621672,0,0.34276350668580591,2,2
bestest_hydronic_heat_pump,zone_bias_negative,tuned_rule_based,deterministic_wm,control_energy_kwh,12,-0.57145615159675867,-1.076800459567635,-2.3695195165351137,0,7,3
bestest_hydronic_heat_pump,zone_bias_positive,legacy_rssm,constant_zero,operational_score,12,-0.030749245084225958,-0.034154158346958667,-0.067054587232168256,0,8,2
bestest_hydronic_heat_pump,zone_bias_positive,legacy_rssm,constant_zero,cost_tot,12,-0.009762847023170422,-0.010050409136396231,-0.018985646520804929,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,legacy_rssm,constant_zero,tdis_tot,12,3.2595788757417736,4.7230634974747856,3.3059713047678407e-07,6.6356711419476184,1,2
bestest_hydronic_heat_pump,zone_bias_positive,legacy_rssm,constant_zero,control_cost_proxy,12,-1.7897951668555736,-1.9073776831664138,-3.6363993734835547,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,legacy_rssm,constant_zero,control_discomfort_kh,12,3.391866970861166,4.8277028027063338,3.5974019851892081e-07,6.8020167982676227,1,2
bestest_hydronic_heat_pump,zone_bias_positive,legacy_rssm,constant_zero,control_energy_kwh,12,-6.3008257300766246,-7.1737917490287799,-13.694777439480205,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,direct_h8_rssm,constant_zero,operational_score,12,-0.062907847708572148,-0.049097600408475849,-0.082634916623024329,-1.973700792937551e-08,10,1
bestest_hydronic_heat_pump,zone_bias_positive,direct_h8_rssm,constant_zero,cost_tot,12,-0.013146523675577323,-0.010660403657467031,-0.017181312945578259,0,8,3
bestest_hydronic_heat_pump,zone_bias_positive,direct_h8_rssm,constant_zero,tdis_tot,12,0.94293879586097518,1.8749770875235896,-3.9062562939840006e-07,3.4068981021050391,3,2
bestest_hydronic_heat_pump,zone_bias_positive,direct_h8_rssm,constant_zero,control_cost_proxy,12,-2.4353754452853353,-2.0675299061271635,-3.3511975802033951,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,direct_h8_rssm,constant_zero,control_discomfort_kh,12,1.1076975416229615,1.9572616777737342,-4.1444328502393546e-07,3.446885763919795,3,2
bestest_hydronic_heat_pump,zone_bias_positive,direct_h8_rssm,constant_zero,control_energy_kwh,12,-8.732453402819182,-7.781587564223031,-13.026515543223558,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,deterministic_wm,constant_zero,operational_score,12,-0.062049403636977141,-0.051346393465484093,-0.084242158793839061,-7.5582128578431923e-09,9,1
bestest_hydronic_heat_pump,zone_bias_positive,deterministic_wm,constant_zero,cost_tot,12,-0.012884561368946508,-0.010885747554971785,-0.018696417685078168,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,deterministic_wm,constant_zero,tdis_tot,12,0.526336276319608,1.6713462646090236,1.0822290832934733e-07,2.2341324876437314,2,1
bestest_hydronic_heat_pump,zone_bias_positive,deterministic_wm,constant_zero,control_cost_proxy,12,-2.3601774058966605,-2.1034442605788359,-3.6132049238714385,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,deterministic_wm,constant_zero,control_discomfort_kh,12,0.64139016267488813,1.753476924379586,1.167684757774623e-07,2.3520273144809778,2,1
bestest_hydronic_heat_pump,zone_bias_positive,deterministic_wm,constant_zero,control_energy_kwh,12,-8.5238317434054593,-8.004718780482067,-13.669901332758826,0,8,4
bestest_hydronic_heat_pump,zone_bias_positive,rc_supervisory_selector,constant_zero,operational_score,12,-0.026846914622730415,-0.0328282804015246,-0.064345260919475497,-7.6718399947303454e-08,11,1
bestest_hydronic_heat_pump,zone_bias_positive,rc_supervisory_selector,constant_zero,cost_tot,12,-0.0088141485103327005,-0.0090262974684593832,-0.016556059050841124,0,8,4
